"design","genre"
"acotar","sci-fi-fantasy"
"adversary","british-literature"
"aeneid","epics"
"aesop","story-collections"
"alice","british-literature"
"andersen","story-collections"
"android","source-code"
"antonia","american-literature"
"arabian","story-collections"
"ashes","contemporary"
"awakening","american-literature"
"babel","contemporary"
"balloon","sci-fi-fantasy"
"beast","romance"
"beauty","british-literature"
"bestofpoe","sci-fi-fantasy"
"beyond","nonfiction"
"bfg","contemporary"
"bigshort","nonfiction"
"blueberries","contemporary"
"bondage","british-literature"
"bough","nonfiction"
"boxcar","contemporary"
"breakfast","contemporary"
"brief","contemporary"
"brother","sci-fi-fantasy"
"buddha","contemporary"
"caged","american-literature"
"canterbury","british-literature"
"carol","british-literature"
"carol2","british-literature"
"chasers","contemporary"
"chatterley","british-literature"
"chekhov","plays"
"cinder","sci-fi-fantasy"
"circle","american-literature"
"clerks","film"
"clockwork","british-literature"
"confucius","nonfiction"
"corduroy","contemporary"
"cradle","sci-fi-fantasy"
"cthulhu","sci-fi-fantasy"
"cyoa","contemporary"
"darkestminds","young-adult"
"darkness","british-literature"
"darwin","nonfiction"
"davinci","nonfiction"
"december","story-collections"
"dickinson","poetry"
"divine","epics"
"doll","plays"
"dorian","british-literature"
"douglass","nonfiction"
"dracula","british-literature"
"dracula2","british-literature"
"dragonfly","sci-fi-fantasy"
"dubliners","story-collections"
"ducklings","childrens"
"earnest","plays"
"eliot","poetry"
"ella","young-adult"
"emerson","american-literature"
"emma","british-literature"
"emma2","british-literature"
"engine","childrens"
"expectations","british-literature"
"eyre","british-literature"
"eyre2","british-literature"
"fairy","british-literature"
"fang","american-literature"
"faraday","nonfiction"
"farewell","american-literature"
"feed","sci-fi-fantasy"
"flag","nonfiction"
"forwhom","american-literature"
"frankenstein","sci-fi-fantasy"
"franklin","nonfiction"
"freud","nonfiction"
"frogtoad","contemporary"
"gables","childrens"
"garden","british-literature"
"gatsby","american-literature"
"giver","sci-fi-fantasy"
"glass","sci-fi-fantasy"
"glass2","sci-fi-fantasy"
"goodnight","contemporary"
"goodwill","film"
"grass","poetry"
"great","american-literature"
"grimm","story-collections"
"gulliver","sci-fi-fantasy"
"hadoop","source-code"
"haeckel","nonfiction"
"hamlet","british-literature"
"hardyboys","childrens"
"heart","british-literature"
"henry","british-literature"
"hoot","young-adult"
"huck","american-literature"
"iliad","epics"
"innocence","american-literature"
"invisible","sci-fi-fantasy"
"invisible2","sci-fi-fantasy"
"island","sci-fi-fantasy"
"james","contemporary"
"jekyll","british-literature"
"jekyll2","british-literature"
"journey","sci-fi-fantasy"
"juliet","british-literature"
"jungle","british-literature"
"justso","british-literature"
"kafka","sci-fi-fantasy"
"kamasutra","nonfiction"
"killbill","film"
"kingkiller1","sci-fi-fantasy"
"kinglear","british-literature"
"kiterunner","contemporary"
"kushiel","contemporary"
"leagues","sci-fi-fantasy"
"lesmis","plays"
"lesmis2","plays"
"lightning","contemporary"
"littlehouse","childrens"
"littleprince","childrens"
"lottery","american-literature"
"love","contemporary"
"lyell","nonfiction"
"macbeth","british-literature"
"madding","british-literature"
"matilda","contemporary"
"mazerunner","contemporary"
"mesos","source-code"
"middlemarch","british-literature"
"midsummer","british-literature"
"milton","british-literature"
"mixedup","contemporary"
"moby","american-literature"
"moneyball","nonfiction"
"morph","sci-fi-fantasy"
"muchado","british-literature"
"mysterious","mystery"
"mythology","story-collections"
"naked","contemporary"
"nancydrew","contemporary"
"newton","nonfiction"
"odyssey","epics"
"oldman","american-literature"
"oliver","british-literature"
"ontheroad","american-literature"
"ophelia","british-literature"
"orchid","american-literature"
"oscar","contemporary"
"othello","british-literature"
"outlander","sci-fi-fantasy"
"oz","american-literature"
"paradise","american-literature"
"pb1","sci-fi-fantasy"
"pb1book","sci-fi-fantasy"
"pb1film","sci-fi-fantasy"
"pb2","sci-fi-fantasy"
"pb2book","sci-fi-fantasy"
"pb2film","sci-fi-fantasy"
