id,closed_at,created_at,number,test,total_price,subtotal_price,total_weight,total_tax,taxes_included,currency,financial_status,confirmed,total_discounts,total_line_items_price,cancelled_at,cancel_reason,total_price_usd,reference,user_id,location_id,source_identifier,source_url,processed_at,device_id,customer_locale,app_id,browser_ip,landing_site_ref,order_number,discount_code,discount_amount,discount_type,payment_gateway_names,processing_method,checkout_id,source_name,fulfillment_status,tags,variant_id,title,quantity,price,sku,variant_title,vendor,fulfillment_service,product_id,requires_shipping,taxable,gift_card,name,product_exists,fulfillable_quantity,customer_country,customer_state,customer_city,customer_zip,shipping_code,orders_count,user_agent
503058268286,,2018-06-06 23:59:25,267677,False,47.12,45.90,299,1.22,False,USD,paid,True,5.10,51.00,,,47.12,,,,,,2018-06-06 23:59:25,,en,580111,67.253.180.55,,268677,LOVETOREAD10,5.10,percentage,['stripe'],direct,4759135518846,web,,,35312224589,The Bible,1,34.00,biblesolid_tee_vneck,Women's V-Neck,Litographs,manual,9535311501,True,True,False,The Bible - Women's V-Neck,True,1,United States,New York,Rochester,14624,USPS First Class (Delivery 3-5 days after Estimated Ship Date),2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299"
503057088638,,2018-06-06 23:52:08,267676,False,33.99,29.00,453,0.00,False,USD,paid,True,0.00,29.00,,,33.99,,,,,,2018-06-06 23:52:08,,en,580111,162.197.113.209,,268676,0,0,Blank,['stripe'],direct,4759131226238,web,,,25502069569,The Princess Bride,1,29.00,pb2_tote,,Litographs,manual,3684131649,True,True,False,The Princess Bride,True,1,United States,Ohio,Columbus,43219,USPS First Class (Delivery 3-5 days after Estimated Ship Date),1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
503055253630,,2018-06-06 23:41:57,267675,False,38.99,34.00,149,0.00,False,USD,paid,True,0.00,34.00,,,38.99,,,,,,2018-06-06 23:41:57,,en,580111,209.225.108.84,,268675,0,0,Blank,['stripe'],direct,4759130046590,web,,,25506183425,The Adventures of Sherlock Holmes,1,34.00,sherlock_tee_vneck,Women's V-Neck,Litographs,manual,151545355,True,True,False,The Adventures of Sherlock Holmes - Women's V-Neck,True,1,United States,Wisconsin,Union Grove,53182,USPS First Class (Delivery 3-5 days after Estimated Ship Date),1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
503054958718,,2018-06-06 23:40:03,267674,False,38.99,34.00,149,0.00,False,USD,refunded,True,0.00,34.00,2018-06-08 05:08:17,customer,38.99,,,,,,2018-06-06 23:40:03,,en,580111,63.145.141.17,,268674,0,0,Blank,['stripe'],direct,4759112188030,web,,,25505141953,Henry V,1,34.00,henryv_tee_vneck,Women's V-Neck,Litographs,manual,5647207873,True,True,False,Henry V - Women's V-Neck,True,0,United States,Colorado,Northglenn,80234,USPS First Class (Delivery 3-5 days after Estimated Ship Date),1,"Mozilla/5.0 (iPad; CPU OS 10_3_3 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) CriOS/67.0.3396.69 Mobile/14G60 Safari/602.1"
503051518078,,2018-06-06 23:24:32,267673,False,38.99,34.00,149,0.00,False,USD,paid,True,0.00,34.00,,,38.99,,,,,,2018-06-06 23:24:32,,en,580111,73.238.208.199,,268673,0,0,Blank,['stripe'],direct,4759121100926,web,,,27119876801,The Three Musketeers,1,34.00,threeswords_tee_unisex,Unisex,Litographs,manual,8160902721,True,True,False,The Three Musketeers - Unisex,True,1,United States,New Jersey,Bridgewater,08807,USPS First Class (Delivery 3-5 days after Estimated Ship Date),3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
503047618686,,2018-06-06 23:05:19,267672,False,43.99,39.00,149,0.00,False,USD,paid,True,0.00,39.00,,,43.99,,,,,,2018-06-06 23:05:19,,en,580111,24.15.225.114,,268672,0,0,Blank,['stripe'],direct,4759112384638,web,,,28188295297,I Know Why the Caged Bird Sings,1,39.00,caged_scarf_inf,Infinity,Litographs,manual,8378148673,True,True,False,I Know Why the Caged Bird Sings - Infinity,True,1,United States,Tennessee,Memphis,38119,USPS First Class (Delivery 3-5 days after Estimated Ship Date),1,"Mozilla/5.0 (iPad; CPU OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
503028809854,,2018-06-06 21:35:39,267671,False,38.99,34.00,149,0.00,False,USD,paid,True,0.00,34.00,,,38.99,,,,,,2018-06-06 21:35:39,,en,580111,104.139.0.45,,268671,0,0,Blank,['stripe'],direct,4759077453950,web,,,25506497985,The Declaration of Independence,1,34.00,flag_tee_unisex,Unisex,Litographs,manual,1422120193,True,True,False,The Declaration of Independence - Unisex,True,1,United States,North Carolina,Monroe,28112,USPS First Class (Delivery 3-5 days after Estimated Ship Date),1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
503020683390,,2018-06-06 21:00:49,267670,False,46.02,39.00,150,2.03,False,USD,paid,True,0.00,39.00,,,46.02,,,,,,2018-06-06 21:00:49,,en,580111,67.81.195.7,,268670,0,0,Blank,['stripe'],direct,4759058907262,web,,,1593485361165,James and the Giant Peach,1,39.00,james_scarf_inf,Infinity,Litographs,manual,151337828365,True,True,False,James and the Giant Peach - Infinity,True,1,United States,New York,Village of the Branch,11787,USPS First Class (Delivery 3-5 days after Estimated Ship Date),1,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0 Mobile/15D100 Safari/604.1"
503017504894,,2018-06-06 20:50:53,267669,False,38.99,34.00,149,0.00,False,USD,paid,True,0.00,34.00,,,38.99,,,,,,2018-06-06 20:50:53,,en,580111,108.241.24.13,,268669,0,0,Blank,['stripe'],direct,4759055630462,web,,,43990666893,The Lightning Thief,1,34.00,lightning_tee_women,Women's Crew,Litographs,manual,10724499533,True,True,False,The Lightning Thief - Women's Crew,True,1,United States,Tennessee,Gallatin,37066,USPS First Class (Delivery 3-5 days after Estimated Ship Date),1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134"
503017242750,,2018-06-06 20:49:48,267668,False,40.55,34.00,149,1.56,False,USD,paid,True,0.00,34.00,,,40.55,,,,,,2018-06-06 20:49:48,,en,580111,174.220.20.228,,268668,0,0,Blank,['stripe'],direct,4759009984638,web,,,25507513153,Wonder,1,34.00,wonder_tee_unisex,Unisex,Litographs,manual,417787797,True,True,False,Wonder - Unisex,True,1,United States,New York,Whitney Point,13862,USPS First Class (Delivery 3-5 days after Estimated Ship Date),1,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G965U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36"
